cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,instruction_keyboard_response.started,static_isi.started,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_stimulus.started,dots_keyboard_response.started,dots_keyboard_response.keys,dots_keyboard_response.rt,feedback_text.started,feedback_text.stopped,instruction_main_text.started,instruction_main_keyboard_response.started,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,dots_background.stopped,dots_stimulus.stopped,dots_keyboard_response.stopped,debriefing_keyboard_response.started,Pseudonym,date,expName,psychopyVersion,frameRate,
left,left,0,0,0,0,,,,,19.073914583999795,0.019812833000287355,30.833922750000056,31.652021584000067,31.652021584000067,32.135494083999674,32.62098974999981,33.845798958999694,33.845798958999694,33.845798958999694,33.845798958999694,f,0.5666997489997811,34.43135904199971,,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,left,0,1,1,3,,,,,,0.0020010830003229785,35.42280204200006,35.52513466699975,35.52513466699975,36.018406499999855,36.51091079199978,37.704704499999934,37.704704499999934,37.704704499999934,37.704704499999934,f,0.6839618330000121,38.40366249999988,38.89324733400008,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,right,0,2,2,5,,,,,,-0.006471041000168043,39.39720162499998,39.740787875000024,39.740787875000024,40.23564916699979,40.72947841699988,41.92777587499995,41.92777587499995,41.92777587499995,41.92777587499995,f,0.605732167000042,42.54614050000009,,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,left,0,3,3,4,,,,,,0.0041608750002524175,43.54495604199974,44.34412741699998,44.34412741699998,44.84283174999973,45.332356208999954,46.33239466699979,46.33239466699979,46.33239466699979,46.33239466699979,f,0.6189639579997674,46.96507274999976,47.4560511249997,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,right,0,4,4,1,,,,,,-0.004435583000031329,47.95725258399989,48.75874704199987,48.75874704199987,49.25307366700008,49.73814349999975,50.73176749999993,50.73176749999993,50.73176749999993,50.73176749999993,j,0.9314336239999648,51.676702333999856,52.16869608399975,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
left,right,0,5,5,2,,,,,,-0.005534625000109372,52.667848499999764,53.463446291999844,53.463446291999844,53.95606662499995,54.447373583999706,55.443825709000066,55.443825709000066,55.443825709000066,55.443825709000066,j,0.6723029159998077,56.126813791999666,56.61862991699991,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
,,,,,,,,,,,,,,,,,,,,,,,,,56.61862991699991,56.61862991699991,space,2.0123641240002144,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,right,,,,,0,0,0,69,,0.009598416999779147,59.150671833999695,59.4967677919999,59.4967677919999,59.996510833999764,60.491841874999864,61.48497962500005,61.48497962500005,61.48497962500005,61.48497962500005,j,0.6846133740000369,62.18521616699991,62.680856292000044,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,left,,,,,0,1,1,39,,-0.006935249999969528,63.17498350000005,63.97574541699987,63.97574541699987,64.47120341699974,64.95523275000005,65.95492220899996,65.95492220899996,65.95492220899996,65.95492220899996,f,1.1406212500000947,67.1108893339997,67.60168754200004,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,right,,,,,0,2,2,74,,-0.006969459000174538,68.1062714589998,68.4551718749999,68.4551718749999,68.954495167,69.43910487499988,70.63563570899987,70.63563570899987,70.63563570899987,70.63563570899987,j,1.8308482500001446,72.47649912499992,72.96882158399967,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,right,,,,,0,3,3,17,,-0.008651042000110465,73.4665622499997,73.55942233399992,73.55942233399992,74.06116158399982,74.54420870900003,75.53558437499987,75.53558437499987,75.53558437499987,75.53558437499987,None,,80.53102004199991,81.02728391699975,,,,,78.03405008399977,78.03405008399977,78.03405008399977,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
left,left,,,,,0,4,4,2,,-0.004915667000204849,81.52950462499984,81.62875054200003,81.62875054200003,82.12797183399971,82.61612454199985,83.8201735839998,83.8201735839998,83.8201735839998,83.8201735839998,f,2.2821419990000322,86.11551537500009,86.60569366699974,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,right,,,,,0,5,5,21,,-0.005245582999577891,87.10664874999975,87.20162170899994,87.20162170899994,87.70691629199973,88.18860637499984,89.18824362499981,89.18824362499981,89.18824362499981,89.18824362499981,f,2.234784457999922,91.43845462499985,,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,left,,,,,0,6,6,59,,0.004083082999841281,92.43755587499982,92.5300104590001,92.5300104590001,93.0277074999999,93.51376004199983,94.70995487499977,94.70995487499977,94.70995487499977,94.70995487499977,f,1.148574333000397,95.87305583399984,,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,left,,,,,0,7,7,51,,0.0034479999999348365,96.8731564589998,97.22011183399991,97.22011183399991,97.7179287089998,98.20312879199992,99.39514195899983,99.39514195899983,99.39514195899983,99.39514195899983,f,1.8158027919998858,101.2176154169997,101.71351816700007,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,right,,,,,0,8,8,78,,-0.010473792000084359,102.20867920899991,102.30308874999992,102.30308874999992,102.83385495899984,103.29176091699992,104.28653316700002,104.28653316700002,104.28653316700002,104.28653316700002,f,0.2622278329999972,104.56423829200003,,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,right,,,,,0,9,9,18,,0.003056792000279529,105.5601804590001,105.66199099999994,105.66199099999994,106.17097591699985,106.64850924999973,107.83961220899982,107.83961220899982,107.83961220899982,107.83961220899982,f,0.7419412499998543,108.59579462500005,109.09216633400001,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,right,,,,,0,10,10,20,,-0.009077542000341055,109.58768312499978,110.38548583400006,110.38548583400006,110.88687695899989,111.36682862499993,112.56707070899984,112.56707070899984,112.56707070899984,112.56707070899984,f,0.7670784580000145,113.34764804199995,113.84123254199994,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
left,right,,,,,0,11,11,33,,-0.007517041000028257,114.33726475000003,114.68162179199999,114.68162179199999,115.1731199589999,115.66503862499985,116.85716237499992,116.85716237499992,116.85716237499992,116.85716237499992,f,0.4267440409998926,117.29864541699999,117.78858841700003,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,left,,,,,0,12,12,48,,-0.007818250000127591,118.29226074999997,118.38300141699983,118.38300141699983,118.88724554200007,119.36968716699994,120.5644901669998,120.5644901669998,120.5644901669998,120.5644901669998,f,1.0632107080000424,121.64276729199992,,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,left,,,,,0,13,13,44,,0.002842792000137706,122.64169041700006,123.43738837499995,123.43738837499995,123.93616458399993,124.41975545900004,125.41922545899979,125.41922545899979,125.41922545899979,125.41922545899979,f,0.8165565409999544,126.2516955000001,126.74379745899978,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
left,left,,,,,0,14,14,13,,-0.005280832999687846,127.24510233399997,128.0416097919997,128.0416097919997,128.53608362499972,129.02732608399992,130.2235290839999,130.2235290839999,130.2235290839999,130.2235290839999,f,0.5035576239997681,130.7413739589997,,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,right,,,,,0,15,15,64,,0.0016198749999603024,131.74156641699983,132.08611699999983,132.08611699999983,132.585244375,133.0706977089999,134.06962774999965,134.06962774999965,134.06962774999965,134.06962774999965,f,0.9966907919997539,135.07958979199975,135.56795054199983,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,left,,,,,0,16,16,38,,-0.005820458000016515,136.06863112499968,136.42154441699995,136.42154441699995,136.91630704199997,137.40370412499988,138.5992152089998,138.5992152089998,138.5992152089998,138.5992152089998,f,0.7624303330003386,139.37547949999998,139.86433020899995,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,right,,,,,0,17,17,61,,-0.006154291000257217,140.36466491700003,140.45921287500005,140.45921287500005,140.96227362499985,141.44570304199988,142.64466783399985,142.64466783399985,142.64466783399985,142.64466783399985,f,0.9373824160002187,143.59706424999968,144.09567612499995,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,left,,,,,0,18,18,47,,-0.00016162500014615944,144.59190766699976,144.691970417,144.691970417,145.19274241699986,145.68134833399972,146.6727975839999,146.6727975839999,146.6727975839999,146.6727975839999,f,1.1622292919996653,147.85385741699974,148.34957429199994,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,right,,,,,0,19,19,23,,-0.0026026249997812556,148.84724170899972,148.94363108399966,148.94363108399966,149.43885354199983,149.92870920899986,150.92396000000008,150.92396000000008,150.92396000000008,150.92396000000008,f,0.9585914580002282,151.88960808399997,152.38050570899986,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,right,,,,,0,20,20,24,,-0.009308834000421484,152.8855639999997,152.98382612499972,152.98382612499972,153.483145959,153.96952970899974,154.96822337499998,154.96822337499998,154.96822337499998,154.96822337499998,j,1.2280229169996346,156.20830791699973,,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,left,,,,,0,21,21,52,,0.0031197500002235756,157.2074215839998,157.30757345899974,157.30757345899974,157.81199012499974,158.29039587499983,159.28263233400003,159.28263233400003,159.28263233400003,159.28263233400003,f,0.8232594579999386,160.12213012499979,160.61735091699984,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,right,,,,,0,22,22,16,,-0.008852292000028683,161.1134456249997,161.46010195899999,161.46010195899999,161.95976324999992,162.44429549999995,163.440893125,163.440893125,163.440893125,163.440893125,f,0.6664681239999481,164.12076458399997,164.614448584,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,left,,,,,0,23,23,43,,0.00019387500015000114,165.11518716699993,165.9131399590001,165.9131399590001,166.41573599999992,166.8971407089998,167.89792316700004,167.89792316700004,167.89792316700004,167.89792316700004,f,0.8864904580000257,168.7968083339997,,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,right,,,,,0,24,24,28,,0.0010016669998549332,169.79235633400003,170.5924325000001,170.5924325000001,171.0862985419999,171.5810914169997,172.57299891699995,172.57299891699995,172.57299891699995,172.57299891699995,f,0.6353059159996519,173.22163608399978,173.71076437500005,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,left,,,,,0,25,25,49,,-0.006044166999799927,174.21505649999972,174.309942375,174.309942375,174.81467799999973,175.29585629199983,176.4940406249998,176.4940406249998,176.4940406249998,176.4940406249998,f,1.6856207079999876,178.19552104199965,,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
left,left,,,,,0,26,26,10,,0.0029568330000984133,179.19355766699982,179.5463642499999,179.5463642499999,180.04426387500007,180.52570079199995,181.5240322919999,181.5240322919999,181.5240322919999,181.5240322919999,f,0.42142012499971315,181.95544654199966,182.44862912500002,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,right,,,,,0,27,27,71,,-0.008050541000102385,182.9467303749998,183.04115408400003,183.04115408400003,183.54216633399983,184.033839875,185.0250659999997,185.0250659999997,185.0250659999997,185.0250659999997,f,1.0303599160001795,186.0724997919997,186.56888287499987,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,right,,,,,0,28,28,60,,-0.002368500000102358,187.06432779199986,187.4077757089999,187.4077757089999,187.90636854199965,188.38993816699985,189.58252033400004,189.58252033400004,189.58252033400004,189.58252033400004,f,0.9961287490000359,190.58942429199988,191.08555216700006,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,right,,,,,0,29,29,25,,-0.007818499999757478,191.57944283400002,191.9227760839999,191.9227760839999,192.42576683399966,192.91120541700002,193.90711233399998,193.90711233399998,193.90711233399998,193.90711233399998,j,0.35630858300010004,194.27456891699967,,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
left,left,,,,,0,30,30,14,,0.004780208000283892,195.27512591699997,196.07141654199995,196.07141654199995,196.5701933749997,197.05696770899976,198.25302974999977,198.25302974999977,198.25302974999977,198.25302974999977,f,0.23898624899993592,198.50340129200004,199.00321366699973,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,right,,,,,0,31,31,77,,-0.002478291999977955,199.49901895899984,199.84663008400003,199.84663008400003,200.34823054199978,200.83865116700008,201.83872908400008,201.83872908400008,201.83872908400008,201.83872908400008,j,0.4231404580000344,202.2781884169999,202.76910716699967,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,right,,,,,0,32,32,22,,-0.005574583999987226,203.269944959,203.36402429200007,203.36402429200007,203.86907283399978,204.34857658400006,205.33964816699972,205.33964816699972,205.33964816699972,205.33964816699972,j,0.18563766599982046,205.54073245900008,206.03426141699993,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
left,left,,,,,0,33,33,6,,-0.008521792000010464,206.53081233400007,206.62514929200006,206.62514929200006,207.12335758399968,207.61836937499993,208.8156967089999,208.8156967089999,208.8156967089999,208.8156967089999,f,0.6722134579999874,209.49960874999988,209.989187959,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,right,,,,,0,34,34,73,,-0.005896874999962165,210.4899472090001,210.8369277500001,210.8369277500001,211.33536624999988,211.82183674999987,213.02214995899976,213.02214995899976,213.02214995899976,213.02214995899976,f,1.1643495829998756,214.20422941700008,214.69402541699992,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,left,,,,,0,35,35,50,,-0.005599790999895049,215.19355479199976,215.2888279169997,215.2888279169997,215.78827062499977,216.27699470900006,217.27584833399987,217.27584833399987,217.27584833399987,217.27584833399987,f,1.306393708000087,218.60113604199978,,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,right,,,,,0,36,36,75,,0.0033621669999774895,219.5989764169999,220.4016228749997,220.4016228749997,220.89592245899985,221.38328383399994,222.5793250419997,222.5793250419997,222.5793250419997,222.5793250419997,f,1.1544683749998512,223.74792350000007,,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,left,,,,,0,37,37,42,,0.0019861250002577435,224.74377474999983,224.83886291699991,224.83886291699991,225.34558504200004,225.83039537500008,226.82469870899968,226.82469870899968,226.82469870899968,226.82469870899968,f,1.4021404999998595,228.24139745899993,228.7317096249999,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
